"cname","cowcode","year","lvaw_garriga"
"United States of America",2,1990,0.48039472
"United States of America",2,1991,0.48039472
"United States of America",2,1992,0.48039472
"United States of America",2,1993,0.48039472
"United States of America",2,1994,0.48039472
"United States of America",2,1995,0.48039472
"United States of America",2,1996,0.48039472
"United States of America",2,1997,0.48039472
"United States of America",2,1998,0.48039472
"United States of America",2,1999,0.48039472
"United States of America",2,2000,0.48039472
"United States of America",2,2001,0.48039472
"United States of America",2,2002,0.48039472
"United States of America",2,2003,0.48039472
"United States of America",2,2004,0.48039472
"United States of America",2,2005,0.48039472
"United States of America",2,2006,0.48039472
"United States of America",2,2007,0.48039472
"United States of America",2,2008,0.48039472
"United States of America",2,2009,0.48039472
"United States of America",2,2010,0.48039472
"United States of America",2,2011,0.48039472
"United States of America",2,2012,0.48039472
"Canada",20,1990,0.450625
"Canada",20,1991,0.450625
"Canada",20,1992,0.450625
"Canada",20,1993,0.450625
"Canada",20,1994,0.450625
"Canada",20,1995,0.450625
"Canada",20,1996,0.450625
"Canada",20,1997,0.450625
"Canada",20,1998,0.450625
"Canada",20,1999,0.450625
"Canada",20,2000,0.450625
"Canada",20,2001,0.472375
"Canada",20,2002,0.472375
"Canada",20,2003,0.472375
"Canada",20,2004,0.472375
"Canada",20,2005,0.472375
"Canada",20,2006,0.472375
"Canada",20,2007,0.472375
"Canada",20,2008,0.472375
"Canada",20,2009,0.472375
"Canada",20,2010,0.472375
"Canada",20,2011,0.472375
"Canada",20,2012,0.472375
"Bahamas",31,1990,0.41125
"Bahamas",31,1991,0.41125
"Bahamas",31,1992,0.41125
"Bahamas",31,1993,0.41125
"Bahamas",31,1994,0.41125
"Bahamas",31,1995,0.41125
"Bahamas",31,1996,0.41125
"Bahamas",31,1997,0.41125
"Bahamas",31,1998,0.41125
"Bahamas",31,1999,0.41125
"Bahamas",31,2000,0.40375
"Bahamas",31,2001,0.40375
"Bahamas",31,2002,0.40375
"Bahamas",31,2003,0.40375
"Bahamas",31,2004,0.40375
"Bahamas",31,2005,0.40375
"Bahamas",31,2006,0.40375
"Bahamas",31,2007,0.40375
"Bahamas",31,2008,0.40375
"Bahamas",31,2009,0.40375
"Bahamas",31,2010,0.40375
"Bahamas",31,2011,0.40375
"Bahamas",31,2012,0.40375
"Cuba",40,1990,NA
"Cuba",40,1991,NA
"Cuba",40,1992,NA
"Cuba",40,1993,NA
"Cuba",40,1994,NA
"Cuba",40,1995,NA
"Cuba",40,1996,NA
"Cuba",40,1997,0.22518641
"Cuba",40,1998,0.22518641
"Cuba",40,1999,0.22518641
"Cuba",40,2000,0.22518641
"Cuba",40,2001,0.22518641
"Cuba",40,2002,0.22518641
"Cuba",40,2003,0.22518641
"Cuba",40,2004,0.22518641
"Cuba",40,2005,0.22518641
"Cuba",40,2006,0.22518641
"Cuba",40,2007,0.22518641
"Cuba",40,2008,0.22518641
"Cuba",40,2009,0.22518641
"Cuba",40,2010,0.22518641
"Cuba",40,2011,0.22518641
"Cuba",40,2012,0.22518641
"Haiti",41,1990,0.3755
"Haiti",41,1991,0.3755
"Haiti",41,1992,0.3755
"Haiti",41,1993,0.3755
"Haiti",41,1994,0.3755
"Haiti",41,1995,0.3755
"Haiti",41,1996,0.3755
"Haiti",41,1997,0.3755
"Haiti",41,1998,0.3755
"Haiti",41,1999,0.3755
"Haiti",41,2000,0.3755
"Haiti",41,2001,0.3755
"Haiti",41,2002,0.3755
"Haiti",41,2003,0.3755
"Haiti",41,2004,0.3755
"Haiti",41,2005,0.3755
"Haiti",41,2006,0.3755
"Haiti",41,2007,0.3755
"Haiti",41,2008,0.3755
"Haiti",41,2009,0.3755
"Haiti",41,2010,0.3755
"Haiti",41,2011,0.3755
"Haiti",41,2012,0.3755
"Dominican Republic",42,1990,0.625
"Dominican Republic",42,1991,0.625
"Dominican Republic",42,1992,0.625
"Dominican Republic",42,1993,0.625
"Dominican Republic",42,1994,0.625
"Dominican Republic",42,1995,0.625
"Dominican Republic",42,1996,0.625
"Dominican Republic",42,1997,0.625
"Dominican Republic",42,1998,0.625
"Dominican Republic",42,1999,0.625
"Dominican Republic",42,2000,0.625
"Dominican Republic",42,2001,0.625
"Dominican Republic",42,2002,0.64825
"Dominican Republic",42,2003,0.64825
"Dominican Republic",42,2004,0.64825
"Dominican Republic",42,2005,0.64825
"Dominican Republic",42,2006,0.64825
"Dominican Republic",42,2007,0.64825
"Dominican Republic",42,2008,0.64825
"Dominican Republic",42,2009,0.64825
"Dominican Republic",42,2010,0.64825
"Dominican Republic",42,2011,0.64825
"Dominican Republic",42,2012,0.64825
